ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
53,Washington,WA,53001,Adams County,53001950100,Census Tract 9501; Adams County; Washington,622.5755239764339,2456,274,1154,126,1001,126,475,164,13,12,197,52,112,40,85,40,514,108,579,145,345,99,27,23,5,53,405,373,100,43,118,50,15,19,59,38,111,43,20.1,6.6,1.3,1.1,19.7,4.6,6.4,2.3,3.6,1.7,20.9,3.9,23.6,4.7,14.6,3.7,2.7,2.3,0.2,2.2,16.5,15.1,8.6,3.6,10.2,4.0,1.5,1.9,5.9,3.6,4.5,1.7,0.6753,0.0628,0.3512,0.5065,0.2969,1.8927,0.3247,0.7637,0.6614,0.6216,0.3032,0.1566,2.5065,0.517,0.1956,0.1956,0.1956,0.5489,0.7643,0.3416,0.6561,0.9163,3.2272,0.8337,7.822,0.5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2119,182,53,33,35,201,119,28,31,8,11,4,19,131,90,0,13,18.2,4.6,1.3,1.4,8.2,4.8,1.1,1.2,0.3,0.5,0.2,0.8,5.3,3.5,0.0,1.5
53,Washington,WA,53001,Adams County,53001950200,Census Tract 9502; Adams County; Washington,1016.273542986348,1935,484,814,117,615,81,417,143,36,33,60,26,251,185,304,183,310,61,444,179,221,52,21,13,25,51,733,503,0,18,109,50,44,42,22,16,31,11,21.6,5.0,3.8,3.5,9.8,4.0,20.6,11.8,15.7,6.3,16.0,4.9,22.9,4.9,11.4,3.5,3.4,2.1,1.4,2.8,37.9,24.2,0.0,2.2,13.4,5.8,7.1,6.8,3.6,2.6,1.6,0.4,0.7155,0.4044,0.0458,0.9384,0.9497,3.0538,0.6765,0.5195,0.6218,0.4005,0.3931,0.4528,2.3877,0.44,0.6444,0.6444,0.6444,0.0,0.8242,0.8665,0.4847,0.7609,2.9363,0.7319,9.0222,0.6934,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1158,96,33,0,13,561,437,0,13,20,25,0,13,97,66,55,68,15.6,5.1,0.0,1.9,29.0,16.7,0.0,1.9,1.0,1.2,0.0,1.9,5.0,3.4,2.8,3.5
53,Washington,WA,53001,Adams County,53001950301,Census Tract 9503.01; Adams County; Washington,166.783151590814,1669,362,569,136,544,139,579,369,20,29,117,112,375,225,346,210,226,85,607,245,198,123,0,18,366,260,1146,374,0,18,284,127,44,62,15,28,32,5,35.2,21.0,3.4,4.4,21.5,19.8,38.4,17.4,21.0,10.5,13.5,5.8,36.4,11.1,12.0,5.8,0.0,3.3,23.9,16.0,68.7,16.7,0.0,3.2,49.9,15.2,8.1,11.2,2.8,5.2,1.9,0.5,0.9293,0.3399,0.4276,0.9842,0.9808,3.6618,0.8456,0.368,0.9859,0.44,0.0,0.9887,2.7826,0.664,0.9356,0.9356,0.9356,0.0,0.9949,0.8931,0.3971,0.7925,3.0776,0.7896,10.4576,0.8603,1,0,0,1,1,3,0,1,0,0,1,2,1,1,0,1,0,0,0,1,7,2200,140,123,0,13,1144,365,1,10,0,13,0,13,1,5,0,13,25.7,17.9,0.0,2.2,68.5,9.0,0.1,0.6,0.0,2.2,0.0,2.2,0.1,0.3,0.0,2.2
53,Washington,WA,53001,Adams County,53001950302,Census Tract 9503.02; Adams County; Washington,67.403791013078,2720,625,782,153,742,151,1298,508,149,131,258,134,748,241,648,246,266,122,980,385,247,114,58,62,664,291,2474,638,0,18,628,172,162,106,82,64,0,13,47.7,15.1,11.0,9.9,34.8,16.6,55.5,12.4,23.8,8.9,9.8,5.1,36.0,8.3,9.1,4.7,7.8,8.2,25.9,9.8,91.0,10.6,0.0,2.3,80.3,11.0,21.8,13.6,11.1,8.8,0.0,0.5,0.9802,0.9367,0.8071,0.9972,0.9926,4.7138,0.9949,0.1639,0.9819,0.2381,0.7788,0.9949,3.1576,0.8416,0.9932,0.9932,0.9932,0.0,0.9994,0.9921,0.8337,0.0,2.8252,0.6883,11.6898,0.9559,1,1,0,1,1,4,0,1,0,0,1,2,1,1,0,1,1,0,0,2,9,1064,137,74,0,13,2428,640,0,13,32,44,0,13,14,22,0,13,18.5,10.3,0.0,1.4,89.3,5.7,0.0,1.4,1.2,1.7,0.0,1.4,0.5,0.8,0.0,1.4
53,Washington,WA,53001,Adams County,53001950303,Census Tract 9503.03; Adams County; Washington,45.795529648452,2826,450,753,116,740,117,924,369,33,43,111,63,486,145,387,96,272,114,1084,302,308,151,30,40,411,176,2169,482,0,18,420,143,124,84,0,13,32,5,33.0,12.0,2.7,3.5,15.0,8.2,32.6,8.7,13.8,3.3,9.6,4.2,38.4,6.8,11.0,5.0,4.1,5.4,15.9,6.3,76.8,11.9,0.0,2.4,55.8,14.4,16.8,11.0,0.0,4.9,1.1,0.0,0.9033,0.2234,0.1799,0.9757,0.9287,3.211,0.7229,0.1504,0.9921,0.3688,0.4859,0.9627,2.9599,0.7557,0.9706,0.9706,0.9706,0.0,0.9966,0.9842,0.0,0.6829,2.6637,0.6188,9.8052,0.7992,1,0,0,1,1,3,0,1,0,0,1,2,1,1,0,1,1,0,0,2,8,909,68,69,0,13,2089,447,0,13,0,13,80,79,0,13,0,13,9.2,8.9,0.0,1.3,73.9,7.3,0.0,1.3,0.0,1.3,2.8,2.8,0.0,1.3,0.0,1.3
53,Washington,WA,53001,Adams County,53001950400,Census Tract 9504; Adams County; Washington,1.37451732847,3031,392,984,145,950,136,1076,353,52,49,353,127,352,126,393,194,360,91,1298,254,295,95,119,72,291,153,2339,416,121,61,0,13,58,42,200,84,100,8,36.4,10.9,5.0,4.6,37.2,12.3,21.8,6.4,13.3,6.3,11.9,3.3,42.8,4.6,10.0,3.3,12.5,7.4,11.2,5.7,77.2,9.4,12.3,5.9,0.0,3.7,6.1,4.3,21.1,7.9,3.3,0.5,0.9395,0.5741,0.849,0.944,0.9163,4.2229,0.9548,0.2753,0.9989,0.3043,0.9395,0.9265,3.4445,0.9259,0.9717,0.9717,0.9717,0.6173,0.0,0.815,0.9485,0.8802,3.261,0.8467,11.9001,0.9666,1,0,0,1,1,3,0,1,0,1,1,3,1,1,0,0,0,1,0,1,8,5088,128,67,5,11,2197,383,68,65,11,16,0,13,58,60,0,13,13.5,6.7,0.2,0.4,72.5,5.5,2.2,2.2,0.4,0.5,0.0,1.2,1.9,2.0,0.0,1.2
53,Washington,WA,53001,Adams County,53001950500,Census Tract 9505; Adams County; Washington,4.782241611308,5920,436,1718,149,1712,149,1958,481,255,152,620,211,945,222,1173,313,369,112,2167,309,602,197,179,101,931,305,4726,522,102,86,14,20,273,143,86,71,12,5,33.2,7.8,9.6,5.4,36.2,11.9,32.9,6.9,19.8,5.1,6.2,2.0,36.6,3.9,10.2,3.5,10.5,5.8,17.7,5.6,79.8,6.6,6.0,5.0,0.8,1.1,15.9,8.2,5.0,4.1,0.2,0.1,0.9055,0.901,0.8348,0.9774,0.9745,4.5932,0.9847,0.0554,0.987,0.3167,0.9005,0.97,3.2296,0.8676,0.9808,0.9808,0.9808,0.4901,0.4081,0.9796,0.5905,0.3154,2.7837,0.6708,11.5873,0.9508,1,1,0,1,1,4,0,1,0,1,1,3,1,1,0,0,1,0,0,1,9,8136,191,120,6,3,4633,471,29,44,0,18,0,18,58,92,0,18,11.2,7.1,0.1,0.1,78.3,4.7,0.5,0.8,0.0,0.6,0.0,0.6,1.0,1.6,0.0,0.6
53,Washington,WA,53003,Asotin County,53003960100,Census Tract 9601; Asotin County; Washington,517.471413214516,4363,384,2076,132,1900,133,635,233,113,83,271,89,200,85,304,122,1253,179,883,241,677,187,46,32,0,52,323,535,8,18,241,90,18,23,58,41,2,2,14.6,5.2,5.8,4.2,14.3,4.6,6.2,2.6,7.0,2.8,28.7,4.5,20.2,4.3,15.5,4.3,2.4,1.7,0.0,1.2,7.4,12.2,0.4,0.9,11.6,4.3,0.9,1.2,3.1,2.1,0.0,0.0,0.5124,0.6601,0.155,0.4912,0.6465,2.4652,0.4864,0.9305,0.4144,0.6725,0.2687,0.0,2.2861,0.3733,0.0175,0.0175,0.0175,0.2346,0.7942,0.2279,0.4361,0.0,1.6928,0.2274,6.4616,0.3088,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2916,149,67,0,13,70,59,22,27,0,13,0,13,190,144,41,43,7.8,3.5,0.0,0.9,1.6,1.4,0.5,0.6,0.0,0.9,0.0,0.9,4.4,3.2,0.9,1.0
53,Washington,WA,53003,Asotin County,53003960200,Census Tract 9602; Asotin County; Washington,113.631824013788,4450,532,2183,187,2059,172,921,325,29,48,422,167,176,111,97,97,1414,164,580,241,763,236,72,69,16,57,319,730,93,90,432,182,58,57,0,13,10,2,20.7,6.9,1.3,2.2,20.5,7.9,5.0,3.0,2.2,2.1,31.8,4.7,13.0,4.3,17.3,5.2,3.5,3.3,0.4,1.3,7.2,16.4,4.3,4.1,19.8,7.8,2.8,2.8,0.0,1.8,0.2,0.0,0.6906,0.0628,0.3857,0.4047,0.1363,1.6801,0.2607,0.9553,0.1097,0.7653,0.4067,0.2131,2.4501,0.4785,0.0158,0.0158,0.0158,0.4375,0.9101,0.539,0.0,0.3154,2.202,0.4389,6.348,0.2952,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2280,270,145,0,13,245,180,0,13,0,13,0,13,74,63,0,13,13.1,6.9,0.0,0.8,5.5,3.9,0.0,0.8,0.0,0.8,0.0,0.8,1.7,1.4,0.0,0.8
53,Washington,WA,53003,Asotin County,53003960300,Census Tract 9603; Asotin County; Washington,1.50074951635,3320,326,1520,136,1312,142,1031,309,130,73,442,132,168,80,396,146,426,104,745,194,575,157,73,37,45,60,301,463,22,28,67,56,16,23,37,29,51,3,31.9,9.0,7.7,4.4,33.7,9.4,7.3,3.3,12.1,4.4,12.8,3.2,22.4,4.8,17.6,4.8,5.5,2.8,1.4,1.9,9.1,13.9,1.4,1.8,4.4,3.7,1.2,1.7,2.8,2.2,1.5,0.2,0.8948,0.8145,0.7896,0.5698,0.8835,3.9522,0.9067,0.3324,0.5856,0.7794,0.6278,0.4528,2.778,0.6623,0.0334,0.0334,0.0334,0.32,0.5975,0.2845,0.3971,0.7439,2.343,0.4819,9.1066,0.7087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6071,121,76,0,13,230,122,15,20,0,13,0,13,56,54,0,13,9.2,5.6,0.0,1.1,6.9,3.7,0.5,0.6,0.0,1.1,0.0,1.1,1.7,1.6,0.0,1.1
53,Washington,WA,53003,Asotin County,53003960400,Census Tract 9604; Asotin County; Washington,0.612646190194,2520,339,1032,114,1000,113,881,256,115,48,394,117,197,74,140,89,586,163,613,208,506,131,44,39,26,55,393,484,37,31,112,47,32,32,70,49,36,10,35.4,9.1,11.7,5.3,39.4,10.8,11.6,4.1,5.6,3.4,23.3,5.7,24.3,6.2,20.3,4.9,4.4,3.9,1.1,2.3,15.6,19.1,3.6,3.0,10.9,4.6,3.2,3.2,7.0,4.9,1.4,0.3,0.9316,0.9536,0.8795,0.7795,0.5266,4.0708,0.9299,0.8298,0.7083,0.8761,0.5221,0.3934,3.3297,0.892,0.1735,0.1735,0.1735,0.4161,0.7818,0.586,0.7031,0.7321,3.2191,0.8314,10.7931,0.8903,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1017,165,58,16,20,177,145,6,11,0,13,0,13,194,128,0,13,16.5,5.8,0.6,0.8,7.0,5.5,0.2,0.4,0.0,1.5,0.0,1.5,7.7,5.1,0.0,1.5
